id,name,reitDollarsInvestedInElement,reitName,reitId,strategy,reitName.1,coverPhotoUrl,thumbnailUrl,status,projectType,address,city,state,zip,lat,lon,submarket,structure,realizedReturn,totalSize,acquisitionDate,exitDate,blendedReturnProjection,annualInterestRate,projectedReturnLowerBound,projectedReturnUpperBound,returnRateType,riskScore,rating,inScopeForInvestorSubmissions,market,geoJson
11,The Lafayette Apartments,1600000.0,Growth eREIT,2,"{'description': 'Provide real estate backed loans or similar financing', 'id': '1', 'name': 'Fixed Income', 'urlSlug': 'fixed-income'}",Growth eREIT,images/12222-16th-ave/cover.png,images/reit-elements/11/04e478cf-6456-4aa6-8570-ad0a5339fc73.jpg,REDEEMED,Multifamily,1575 Lafayette St,Denver,CO,80218,39.74,-104.97,,Preferred Equity,0.13,1600000,2016-05-12T00:00:00.000-04:00,2016-12-19T00:00:00.000-05:00,False,0.13,0.0,0.0,ANNUAL_INTEREST_RATE,13.0,"{'riskScore': '13', 'color': '#FFC533', 'letter': 'C', 'subletter': '2', 'full': 'C2'}",False,,
12,The Palms at Beacon Pointe Apartments,3465000.0,Growth eREIT,2,"{'description': 'Acquire real estate that needs improvements and / or lease-up.', 'id': '3', 'name': 'Value Add', 'urlSlug': 'value-add'}",Growth eREIT,images/reit-elements/12/e0c86019-cab9-49af-a172-2579a4dbdd0e.jpg,images/reit-elements/12/3495590e-bd2b-43db-8253-a79903cb8857.jpg,REDEEMED,Multifamily,1251 Beacon Point Dr,Jacksonville,FL,32246,30.32,-81.55,,Common Equity,0.229,3465000,2016-06-06T00:00:00.000-04:00,2019-09-27T00:00:00.000-04:00,True,0.0,0.116,0.1341,PROJECTED_RETURN_RANGE,12.0,"{'riskScore': '12', 'color': '#ACE639', 'letter': 'C', 'subletter': '1', 'full': 'C1'}",False,"{'description': 'From Atlanta to Phoenix, cities in the southern third of the United States are growing faster than their northern counterparts, which is driving strong and continued demand for real estate.', 'name': 'The Sunbelt', 'thumbnailUrl': 'images/market-thumbnails/0f7c9c6c-13b3-474b-b9c1-6a14bb3420cd.png', 'urlSlug': 'sunbelt'}",
13,Haven Fort Belvoir Apartments,3893000.0,Growth eREIT,2,"{'description': 'Acquire real estate that needs improvements and / or lease-up.', 'id': '3', 'name': 'Value Add', 'urlSlug': 'value-add'}",Growth eREIT,images/9190-richmond-highway/northern-va-canterbury-cover.jpg,images/reit-elements/13/e9243db2-0c8f-414f-896e-aedf8f93f285.jpg,REDEEMED,Multifamily,9190 Richmond Highway,Fort Belvoir,VA,22060,38.71,-77.16,,Common Equity,0.163,3893000,2016-06-27T00:00:00.000-04:00,2021-02-25T00:00:00.000-05:00,True,0.0,0.097,0.1163,PROJECTED_RETURN_RANGE,12.0,"{'riskScore': '12', 'color': '#ACE639', 'letter': 'C', 'subletter': '1', 'full': 'C1'}",False,"{'description': ""Washington, DC and its suburbs in Maryland and northern Virginia form a fast-growing and dynamic market that's uniquely insulated from national economic downturns by the federal government."", 'name': 'National Capital Region', 'thumbnailUrl': 'images/market-thumbnails/279d3c5d-1088-4c1a-9657-b4a0a146b9ae.jpg', 'urlSlug': 'washington-dc'}",
14,The Reserve at Mandarin Apartments,10850000.0,Growth eREIT,2,"{'description': 'Acquire real estate that needs improvements and / or lease-up.', 'id': '3', 'name': 'Value Add', 'urlSlug': 'value-add'}",Growth eREIT,images/reit-elements/14/80c67f1c-2a3d-4974-9302-6311603dc5b7.jpg,images/reit-elements/14/457754bf-001e-45de-943b-ade85b9f8614.jpg,REDEEMED,Multifamily,4083 Sunbeam Rd,Jacksonville,FL,32257,30.21,-81.61,,Common Equity,0.204,10850000,2016-06-06T00:00:00.000-04:00,2019-08-30T00:00:00.000-04:00,True,0.0,0.116,0.1341,PROJECTED_RETURN_RANGE,12.0,"{'riskScore': '12', 'color': '#ACE639', 'letter': 'C', 'subletter': '1', 'full': 'C1'}",False,"{'description': 'From Atlanta to Phoenix, cities in the southern third of the United States are growing faster than their northern counterparts, which is driving strong and continued demand for real estate.', 'name': 'The Sunbelt', 'thumbnailUrl': 'images/market-thumbnails/0f7c9c6c-13b3-474b-b9c1-6a14bb3420cd.png', 'urlSlug': 'sunbelt'}",
15,Haven Mt Vernon Apartments,12662000.0,Growth eREIT,2,"{'description': 'Acquire real estate that needs improvements and / or lease-up.', 'id': '3', 'name': 'Value Add', 'urlSlug': 'value-add'}",Growth eREIT,images/reit-elements/15/ebe3a5c9-0024-409e-967d-23e09cff700a.jpg,images/reit-elements/15/7010489f-cdab-46dd-9854-a356c2b4ede8.jpg,REDEEMED,Multifamily,5401 Claymont Dr,Alexandria,VA,22309,38.73,-77.13,,Common Equity,0.163,12662000,2016-09-14T00:00:00.000-04:00,2021-02-25T00:00:00.000-05:00,True,0.0,0.097,0.1163,PROJECTED_RETURN_RANGE,11.0,"{'riskScore': '11', 'color': '#39E68F', 'letter': 'B', 'subletter': '3', 'full': 'B3'}",False,"{'description': ""Washington, DC and its suburbs in Maryland and northern Virginia form a fast-growing and dynamic market that's uniquely insulated from national economic downturns by the federal government."", 'name': 'National Capital Region', 'thumbnailUrl': 'images/market-thumbnails/279d3c5d-1088-4c1a-9657-b4a0a146b9ae.jpg', 'urlSlug': 'washington-dc'}",
16,Villas at Meadow Springs Apartments,8460000.0,Growth eREIT,2,"{'description': 'Acquire real estate that needs improvements and / or lease-up.', 'id': '3', 'name': 'Value Add', 'urlSlug': 'value-add'}",Growth eREIT,images/theVillas-richlandWa-v4.jpg,images/reit-elements/16/b6368988-9a12-49c6-ada9-ae28500d5a1e.jpg,ACTIVE,Multifamily,250 Gage Blvd,Richland,WA,99352,46.23,-119.26,,Common Equity,0.0,8460000,2016-09-19T00:00:00.000-04:00,,False,0.0,0.115,0.1336,PROJECTED_RETURN_RANGE,13.0,"{'riskScore': '13', 'color': '#FFC533', 'letter': 'C', 'subletter': '2', 'full': 'C2'}",False,,
17,Haven Woodbridge Apartments,7600000.0,Growth eREIT,2,"{'description': 'Acquire real estate that needs improvements and / or lease-up.', 'id': '3', 'name': 'Value Add', 'urlSlug': 'value-add'}",Growth eREIT,images/reit-elements/17/39077ec9-75f2-4cd4-b225-521bdbfc35bd.jpg,images/reit-elements/17/6a840a22-a34d-4a52-8100-63ed7218dd1c.jpg,REDEEMED,Multifamily,13940 Longwood Manor Ct,Woodbridge,VA,22191,38.65,-77.28,,Common Equity,0.16,7600000,2016-09-28T00:00:00.000-04:00,2021-02-12T00:00:00.000-05:00,True,0.0,0.097,0.1163,PROJECTED_RETURN_RANGE,12.0,"{'riskScore': '12', 'color': '#ACE639', 'letter': 'C', 'subletter': '1', 'full': 'C1'}",False,"{'description': ""Washington, DC and its suburbs in Maryland and northern Virginia form a fast-growing and dynamic market that's uniquely insulated from national economic downturns by the federal government."", 'name': 'National Capital Region', 'thumbnailUrl': 'images/market-thumbnails/279d3c5d-1088-4c1a-9657-b4a0a146b9ae.jpg', 'urlSlug': 'washington-dc'}",
18,Sandtown Vista Apartments,5000000.0,East Coast eREIT,3,"{'description': 'Provide real estate backed loans or similar financing', 'id': '1', 'name': 'Fixed Income', 'urlSlug': 'fixed-income'}",East Coast eREIT,images/sandtown_vista.png,images/reit-elements/18/31c66ab4-a139-40ce-8839-7afaf7c7bab3.jpg,REDEEMED,Multifamily,1475 Sand Bay Dr,Atlanta,GA,30331,33.72,-84.57,,Preferred Equity,0.115,5000000,2016-11-21T00:00:00.000-05:00,2021-04-26T00:00:00.000-04:00,False,0.115,0.0,0.0,ANNUAL_INTEREST_RATE,12.0,"{'riskScore': '12', 'color': '#ACE639', 'letter': 'C', 'subletter': '1', 'full': 'C1'}",False,"{'description': 'From Atlanta to Phoenix, cities in the southern third of the United States are growing faster than their northern counterparts, which is driving strong and continued demand for real estate.', 'name': 'The Sunbelt', 'thumbnailUrl': 'images/market-thumbnails/0f7c9c6c-13b3-474b-b9c1-6a14bb3420cd.png', 'urlSlug': 'sunbelt'}",
19,Estraya at Falcon Pointe Apartments,3000000.0,Heartland eREIT,4,"{'description': 'Provide real estate backed loans or similar financing', 'id': '1', 'name': 'Fixed Income', 'urlSlug': 'fixed-income'}",Heartland eREIT,images/waypoint-v1.png,images/reit-elements/19/4667f77b-d144-4768-b02b-42d26e1ba8ab.jpg,REDEEMED,Multifamily,2132 Falcon Village Ln,Pflugerville,TX,78660,30.45,-97.59,,Preferred Equity,0.11,3000000,2016-11-11T00:00:00.000-05:00,2019-09-12T00:00:00.000-04:00,False,0.11,0.0,0.0,ANNUAL_INTEREST_RATE,13.0,"{'riskScore': '13', 'color': '#FFC533', 'letter': 'C', 'subletter': '2', 'full': 'C2'}",False,"{'description': 'From Atlanta to Phoenix, cities in the southern third of the United States are growing faster than their northern counterparts, which is driving strong and continued demand for real estate.', 'name': 'The Sunbelt', 'thumbnailUrl': 'images/market-thumbnails/0f7c9c6c-13b3-474b-b9c1-6a14bb3420cd.png', 'urlSlug': 'sunbelt'}",
20,Los Angeles San Pedro Acquisition Loan - Mesa,1300000.0,West Coast eREIT,5,"{'description': 'Provide real estate backed loans or similar financing', 'id': '1', 'name': 'Fixed Income', 'urlSlug': 'fixed-income'}",West Coast eREIT,images/san-pablo-land-loan.jpg,images/reit-elements/20/3d3b13f4-479f-4d2a-86c9-580c410dee3b.png,REDEEMED,Single-family rental,1803 South Mesa Street,San Pedro,CA,90731,33.73,-118.29,,Senior Debt,0.1,1300000,2016-10-26T00:00:00.000-04:00,2017-05-25T00:00:00.000-04:00,False,0.1,0.0,0.0,ANNUAL_INTEREST_RATE,11.0,"{'riskScore': '11', 'color': '#39E68F', 'letter': 'B', 'subletter': '3', 'full': 'B3'}",False,"{'description': 'The City of Angels boasts the nationÂs second-largest economy Â and a massive housing shortage. For those who can navigate the complexities of building new homes in LA, opportunities to earn outsized returns abound.', 'name': 'Los Angeles', 'thumbnailUrl': 'images/market-thumbnails/24e9b459-f3a8-425c-84ce-21225a12cb64.jpg', 'urlSlug': 'los-angeles'}",
21,Los Angeles Echo Park Acquisition Loan - Ark Douglas,1250000.0,West Coast eREIT,5,"{'description': 'Provide real estate backed loans or similar financing', 'id': '1', 'name': 'Fixed Income', 'urlSlug': 'fixed-income'}",West Coast eREIT,images/west-coast-ereit/echo-park-cover-image.jpg,images/reit-elements/21/86846ccd-c832-4bc5-9fe5-18710915c1d7.jpg,REDEEMED,Single-family rental,1363-1371 Douglas St,Los Angeles,CA,90026,34.08,-118.25,,Senior Debt,0.08,1250000,2016-11-15T00:00:00.000-05:00,2017-11-14T00:00:00.000-05:00,False,0.09,0.0,0.0,ANNUAL_INTEREST_RATE,11.0,"{'riskScore': '11', 'color': '#39E68F', 'letter': 'B', 'subletter': '3', 'full': 'B3'}",False,"{'description': 'The City of Angels boasts the nationÂs second-largest economy Â and a massive housing shortage. For those who can navigate the complexities of building new homes in LA, opportunities to earn outsized returns abound.', 'name': 'Los Angeles', 'thumbnailUrl': 'images/market-thumbnails/24e9b459-f3a8-425c-84ce-21225a12cb64.jpg', 'urlSlug': 'los-angeles'}",
22,Los Angeles Silver Lake Acquisition Loan - Parkman,1575000.0,West Coast eREIT,5,"{'description': 'Provide real estate backed loans or similar financing', 'id': '1', 'name': 'Fixed Income', 'urlSlug': 'fixed-income'}",West Coast eREIT,images/west-coast-ereit/silverlake_la.png,images/reit-elements/22/013a4319-4912-47bc-8d59-88803a8a870e.jpg,REDEEMED,Single-family rental,736 Parkman Ave,Los Angeles,CA,90026,34.08,-118.27,,Senior Debt,0.098,1575000,2016-10-26T00:00:00.000-04:00,2018-04-24T00:00:00.000-04:00,False,0.09,0.0,0.0,ANNUAL_INTEREST_RATE,12.0,"{'riskScore': '12', 'color': '#ACE639', 'letter': 'C', 'subletter': '1', 'full': 'C1'}",False,"{'description': 'The City of Angels boasts the nationÂs second-largest economy Â and a massive housing shortage. For those who can navigate the complexities of building new homes in LA, opportunities to earn outsized returns abound.', 'name': 'Los Angeles', 'thumbnailUrl': 'images/market-thumbnails/24e9b459-f3a8-425c-84ce-21225a12cb64.jpg', 'urlSlug': 'los-angeles'}",
23,Los Angeles Hollywood Acquisition Loan - Gramercy,2100000.0,West Coast eREIT,5,"{'description': 'Provide real estate backed loans or similar financing', 'id': '1', 'name': 'Fixed Income', 'urlSlug': 'fixed-income'}",West Coast eREIT,images/west-coast-ereit/gramercy-la-senior-loan.png,images/reit-elements/23/5d312a73-cfe0-4bfe-9f76-08afb8f9787c.jpg,REDEEMED,Single-family rental,733-743 N Gramercy Pl,Los Angeles,CA,90038,34.09,-118.31,,Senior Debt,0.09,2100000,2016-10-26T00:00:00.000-04:00,2017-05-02T00:00:00.000-04:00,False,0.09,0.0,0.0,ANNUAL_INTEREST_RATE,10.0,"{'riskScore': '10', 'color': '#3FBFFF', 'letter': 'B', 'subletter': '2', 'full': 'B2'}",False,,
24,Elysium Fourteen,6475000.0,Income Real Estate Fund,25,"{'description': 'Provide real estate backed loans or similar financing', 'id': '1', 'name': 'Fixed Income', 'urlSlug': 'fixed-income'}",Income Real Estate Fund,images/elysium14th-v4.jpg,images/reit-elements/24/8f3e0031-ae1b-4d89-909f-c794408e0d7e.jpg,REDEEMED,Other,1925 14th Street Northwest,Washington,DC,20009,38.91647,-77.03159,14th Street Corridor,Preferred Equity,0.114,6475000,2016-05-10T00:00:00.000-04:00,2018-07-02T00:00:00.000-04:00,False,0.099,0.0,0.0,ANNUAL_INTEREST_RATE,15.0,"{'riskScore': '15', 'color': '#FF884C', 'letter': 'D', 'subletter': '1', 'full': 'D1'}",False,,
25,Los Angeles Acquisition Loan - Silver Lake,1760000.0,Income Real Estate Fund,25,"{'description': 'Provide real estate backed loans or similar financing', 'id': '1', 'name': 'Fixed Income', 'urlSlug': 'fixed-income'}",Income Real Estate Fund,images/stradellacourt-v2.png,images/reit-elements/25/ff5f1ee0-05c0-464c-aac3-23889fd48b78.jpg,REDEEMED,Single-family rental,3012 Marathon St,Los Angeles,CA,90026,34.08,-118.28,,Senior Debt,0.075,1760000,2016-08-24T00:00:00.000-04:00,2017-04-05T00:00:00.000-04:00,False,0.075,0.0,0.0,ANNUAL_INTEREST_RATE,10.0,"{'riskScore': '10', 'color': '#3FBFFF', 'letter': 'B', 'subletter': '2', 'full': 'B2'}",False,,
26,Enclave at Lake Ellenor Apartments,7650000.0,East Coast eREIT,3,"{'description': 'Acquire real estate that needs improvements and / or lease-up.', 'id': '3', 'name': 'Value Add', 'urlSlug': 'value-add'}",East Coast eREIT,images/reit-elements/26/0a2478d9-6606-4f78-a054-e354c35b0202.jpg,images/reit-elements/26/d5976d25-aa31-4d6e-a4b4-81072a1d5b60.jpg,REDEEMED,Multifamily,2100 W Oak Ridge Rd,Orlando,FL,32809,28.47,-81.41,,Common Equity,0.367,7650000,2016-11-30T00:00:00.000-05:00,2021-12-23T00:00:00.000-05:00,False,0.0,0.1079,0.1508,PROJECTED_RETURN_RANGE,12.0,"{'riskScore': '12', 'color': '#ACE639', 'letter': 'C', 'subletter': '1', 'full': 'C1'}",False,"{'description': 'From Atlanta to Phoenix, cities in the southern third of the United States are growing faster than their northern counterparts, which is driving strong and continued demand for real estate.', 'name': 'The Sunbelt', 'thumbnailUrl': 'images/market-thumbnails/0f7c9c6c-13b3-474b-b9c1-6a14bb3420cd.png', 'urlSlug': 'sunbelt'}",
27,Aviator Apartments,1000000.0,Heartland eREIT,4,"{'description': 'Provide real estate backed loans or similar financing', 'id': '1', 'name': 'Fixed Income', 'urlSlug': 'fixed-income'}",Heartland eREIT,images/heartland-ereit/coloradoSpringsAviator.png,images/reit-elements/27/e44661ee-3f19-48eb-8de5-f4d1f50a1869.jpg,REDEEMED,Multifamily,1670 North Murray Blvd,Colorado Springs,CO,80915,38.86,-104.75,,Preferred Equity,0.11,1000000,2016-12-06T00:00:00.000-05:00,2020-02-28T00:00:00.000-05:00,False,0.11,0.0,0.0,ANNUAL_INTEREST_RATE,13.0,"{'riskScore': '13', 'color': '#FFC533', 'letter': 'C', 'subletter': '2', 'full': 'C2'}",False,"{'description': 'Though perhaps best known for world-class winter sports and craft beer, the Denver area economy is growing faster than its housing supply, creating value-add opportunities for smart investors.', 'name': 'Denver - Front Range', 'thumbnailUrl': 'images/market-thumbnails/936af61d-191d-4c39-ac32-334a375e605a.jpg', 'urlSlug': 'denver'}",
28,Estraya Westover Hills,7025000.0,Heartland eREIT,4,"{'description': 'Provide real estate backed loans or similar financing', 'id': '1', 'name': 'Fixed Income', 'urlSlug': 'fixed-income'}",Heartland eREIT,images/reit-elements/28/0d14b5a7-115d-4222-a0bb-a4e58b9029e3.jpg,images/reit-elements/28/d48a4930-c921-4b27-8470-afd1ff9ef2e1.jpg,REDEEMED,Multifamily,1626 N Ellison Dr,San Antonio,TX,78251,29.45,-98.69,,Preferred Equity,0.1,7025000,2016-12-30T00:00:00.000-05:00,2019-07-22T00:00:00.000-04:00,False,0.1,0.0,0.0,ANNUAL_INTEREST_RATE,13.0,"{'riskScore': '13', 'color': '#FFC533', 'letter': 'C', 'subletter': '2', 'full': 'C2'}",False,"{'description': 'From Atlanta to Phoenix, cities in the southern third of the United States are growing faster than their northern counterparts, which is driving strong and continued demand for real estate.', 'name': 'The Sunbelt', 'thumbnailUrl': 'images/market-thumbnails/0f7c9c6c-13b3-474b-b9c1-6a14bb3420cd.png', 'urlSlug': 'sunbelt'}",
29,Craft Apartments,1300000.0,West Coast eREIT,5,"{'description': 'Provide real estate backed loans or similar financing', 'id': '1', 'name': 'Fixed Income', 'urlSlug': 'fixed-income'}",West Coast eREIT,images/reit-elements/29/bd9143ef-4906-4c71-b643-98137df463e0.jpg,images/reit-elements/29/b47ae3a0-35e5-411c-998b-fb8edc7aca04.jpg,REDEEMED,Multifamily,1315 E Jefferson St,Seattle,WA,98122,47.6,-122.33,,Preferred Equity,0.09,1300000,2017-01-04T00:00:00.000-05:00,2017-09-14T00:00:00.000-04:00,False,0.09,0.0,0.0,ANNUAL_INTEREST_RATE,13.0,"{'riskScore': '13', 'color': '#FFC533', 'letter': 'C', 'subletter': '2', 'full': 'C2'}",False,"{'description': 'The capital of the Pacific Northwest is a tech mecca situated on a narrow strip of land. Scarcity of real estate combined with massive wealth creation has driven nation-leading price appreciation, and opportunities for smart investors.', 'name': 'Seattle', 'thumbnailUrl': 'images/market-thumbnails/ef9e4aa8-cd4b-4dfc-b05a-ca153142e25d.jpg', 'urlSlug': 'seattle'}",
